
RUTA 1:
-29033.3579	,4787.1888,	-2621.401;
-28678.1359	,4740.9488,	-2622.2195;
-27791.1309	,4649.2292,	-2605.9853;
-27137.1987	,4584.2208,	-2575.018;
-26452.7872	,4496.833,	-2562.334;
-25649.83	,4408.0688,	-2570.9477;
-24731.3886	,4285.1288,	-2549.7533;
-24019.2914	,4198.1512,	-2550.3871;
-23334.7966	,4095.6632,	-2546.9486;
-22773.0419	,4001.6026,	-2515.7859;
-21609.3454	,3815.4357,	-2462.9295;
-20445.6488	,3629.2688,	-2410.073;
-20130.1785	,3613.262,	-2410.8287;
-19709.6643	,3550.1593,	-2403.7794;
-18774.7414	,3437.9758,	-2394.0624;
-18537.9979	,3393.9104,	-2386.7889;
-17812.2057	,3310.1801,	-2365.8678;
-17299.7353	,3255.1958,	-2340.4211;
-17161.284	,3210.0016,	-2337.2474;
-16370.9541	,3116.2314,	-2380.5142;
-15188.7069	,2955.3072,	-2669.5905;
-14723.2485	,2885.3901,	-2841.7661;
-14402.305	,2847.8562,	-3004.7891;
-14248.1735	,2826.6905,	-3115.8563;
-14052.2461	,2775.7128,	-3369.233;
-13617.9121	,2699.8702,	-3762.1566;
-13115.6972	,2654.0921,	-4200.7797;
-12473.5466	,2556.585,	-4744.5077;
-11919.7332	,2452.765,	-5237.4124;
-11426.6083	,2345.6764,	-5726.2936;
-10946.512	,2260.2288,	-6190.7116;
-10576.0806	,2196.8688,	-6541.6686;
-10243.4583	,2120.5711,	-6845.7443;
-9924.3162	,2044.7	  ,  -7160.3134;
-9605.1544	,1968.8288,	-7474.9061;
-9255.1995	,1939.7088,	-7812.905;
-8868.6289	,1884.5088,	-8144.29;
-8433.4351	,1831.0688,	-8503.452;
-7961.2794	,1739.8888,	-8902.3582;
-7297.7863	,1619.7855,	-9261.1869;
-6840.6919	,1560.6883,	-9292.0242;
-6136.9023	,1483.0567,	-9310.6903;
-5662.5557	,1426.894,	-9331.1795;
-5171.151	,1358.9767,	-9357.1448;
-4400.6602	,1276.6391,	-9649.6088;
-4061.0087	,1232.1806,	-9356.6497;
-3201.5688	,1104.1015,	-9304.1336;
-2820.5713	,1063.7495,	-9314.1938;
-2040.3539	,1043.8672,	-9345.0483;
-1568.8778	,1016.8286,	-9338.7759;
-508.7518	,873.2298,	-9274.4979;
7.596	    ,817.6279,	-9179.5867;
788.5771	,693.1058,	-9055.3783;
1180.8296	,649.5884,	-9022.8514;
2076.0929	,533.8874,	-8982.1825;
3055.3545	,392.9563,	-8918.1691;
3463.803	,336.4047,	-8891.1026;
4087.6052	,284.7371,	-8845.4286;
4711.4073	,233.0695,	-8799.7546;
5304.8195	,182.8768,	-9138.3776;
6247.1945	,66.014	  ,  -8982.5976;
6882.9904	,-18.3315,	-8875.3415;
7350.8585	,-73.637	  ,  -8790.4491;
7991.4382	,-145.2523,	-8664.6836;
8441.3501	,-145.4339,	-8582.1346;
8606.922	,-156.4946,	-8548.8476;
9529.1241	,-274.3587,	-8386.746;
9957.0255	,-326.7259,	-8313.4282;
10451.5596	,-378.1804,	-8236.286;
10864.0842	,-445.6621,	-8155.2771;
11261.2577	,-481.3041,	-8068.5152;
12068.5622	,-507.3976,	-7942.9292;
12491.0527	,-524.2274,	-7873.2815;
12918.6445	,-592.1497,	-7776.1637;
13734.1712	,-683.2325,	-7629.2552;
14448.9474	,-792.44,  -7500.8485;
14964.1764	,-856.7571,	-7401.5565;
15347.114	,-904.9203,	-7332.904;
16132.7941	,-953.1603,	-7214.9591;
16901.4425	,-1014.6029,-7079.8808;
17448.5035	,-1078.0768,-6983.09;
17854.7881	,-1127.6869,-6890.7901;
18352.3336	,-1200.1691,-6789.6061;
19086.3121	,-1283.9312,-6670.0905;
19848.2362	,-1379.7953,-6501.9567;
20316.1919	,-1431.0353,-6226.1974;
21067.6392	,-1558.4587,-5813.6044;
21677.1764	,-1626.0398,-5507.7081;
21990.7817	,-1675.7903,-5329.9954;
22454.4384	,-1731.4763,-5061.8416;
22886.9837	,-1793.3994,-4829.9919;
23299.9422	,-1837.7905,-4604.456;
23920.9723	,-1943.0516,-4259.1635;
24417.8073	,-2019.9012,-3980.9868;
25321.8518	,-2096.2464,-3689.6432;
25861.6692	,-2171.3884,-3567.7007;
26686.0587	,-2266.2771,-3408.4858;
26973.2446	,-2286.8881,-3359.6802;
27797.7426	,-2433.2173,-3250.2809;
28545.6435	,-2507.3512,-3109.8729;
29536.6663	,-2650.6425,-2940.2448;
30043.2418	,-2686.0169,-2856.6801;
30502.1562	,-2753.9619,-2686.1584;
30841.6756	,-2812.9514,-2509.8143;
31320.1294	,-2869.0165,-2269.3786;
32012.0861	,-2956.1949,-1929.5496;
32831.9544	,-3072.4336,-1532.935;
33637.7777	,-3168.6237,-1169.7107;
34220.634	,-3260.272,	-1038.7867;
34856.7034	,-3346.7448,-919.684;
